Date,SPY,AGG,DBC,GLD
2006-02-06,88.155,55.413,19.831,56.72
2006-02-07,87.375,55.374,19.257,54.6
2006-02-08,88.169,55.346,19.175,54.83
2006-02-09,88.023,55.38,19.356,56.18
2006-02-10,88.183,55.264,19.003,54.79
2006-02-13,88.023,55.302,18.708,53.72
2006-02-14,88.956,55.214,18.552,54.49
2006-02-15,89.269,55.275,18.282,53.76
2006-02-16,89.938,55.219,18.503,54.52
2006-02-17,89.694,55.446,18.766,54.96
2006-02-21,89.471,55.241,19.077,55.12
2006-02-22,90.015,55.463,18.766,55.34
2006-02-23,89.882,55.429,18.7,54.64
2006-02-24,90.112,55.474,19.208,55.64
2006-02-27,90.147,55.358,18.831,55.22
2006-02-28,89.29,55.474,19.085,56.07
2006-03-01,90.084,55.475,19.044,56.1
2006-03-02,90.077,55.337,19.388,56.74
2006-03-03,89.659,55.226,19.569,56.28
2006-03-06,89.249,54.92,19.257,55.23
2006-03-07,89.109,55.059,18.921,54.95
2006-03-08,89.297,55.087,18.618,53.97
2006-03-09,88.698,55.015,18.806,54.24
2006-03-10,89.541,55.037,18.725,53.83
2006-03-13,89.708,55.137,18.97,54.31
2006-03-14,90.648,55.32,19.249,54.87
2006-03-15,91.052,55.17,19.036,55.12
2006-03-16,91.24,55.403,19.2,55.34
2006-03-17,91.316,55.281,19.11,55.12
2006-03-20,91.17,55.259,18.716,55.17
2006-03-21,90.596,55.115,18.782,54.83
2006-03-22,91.148,55.215,18.749,54.75
2006-03-23,90.96,55.17,19.069,54.7
2006-03-24,91.03,55.264,19.028,55.71
2006-03-27,90.897,55.309,19.142,56.39
2006-03-28,90.338,55.17,19.388,56.06
2006-03-29,90.904,55.059,19.519,57.07
2006-03-30,90.743,54.809,19.757,58.6
2006-03-31,90.764,54.992,19.618,58.1
2006-04-03,90.694,54.938,19.708,58.47
2006-04-04,91.274,55.011,19.601,58.33
2006-04-05,91.589,55.05,19.724,58.66
2006-04-06,91.491,55.005,20.077,59.28
2006-04-07,90.561,54.821,19.986,58.59
2006-04-10,90.701,54.771,20.355,59.6
2006-04-11,89.932,54.883,20.437,59.01
