Date,ETF_ID,Action,Price,Shares,Cash Before,Cash After,Portfolio Value,Action Value,Currently Held
2023-10-27,0,BUY,403.841,21,10000.0,1434.532,9915.19,0.8296354,21.0
2023-10-27,1,BUY,87.892,14,1434.532,191.739,9902.89,0.83856696,14.0
2023-10-27,2,BUY,22.621,4,191.739,100.35,9901.98,0.46050093,4.0
2023-10-27,3,HOLD,186.15,0,100.35,100.35,9901.98,0.21200801,0.0
2023-10-30,0,BUY,408.67,0,100.35,100.35,9999.02,0.5460907,21.0
2023-10-30,1,BUY,87.683,1,100.35,11.79,9998.14,0.71230435,15.0
2023-10-30,2,SELL_FAILED,22.259,0,11.79,11.79,9998.14,-0.57083297,4.0
2023-10-30,3,SELL_FAILED,185.1,0,11.79,11.79,9998.14,-0.6057314,0.0
2023-10-31,0,SELL_FAILED,411.236,0,11.79,11.79,10050.85,-0.8760703,21.0
2023-10-31,1,HOLD,87.626,0,11.79,11.79,10050.85,0.05926657,15.0
2023-10-31,2,SELL,22.178,1,11.79,33.746,10050.63,-0.99004334,3.0
2023-10-31,3,SELL_FAILED,184.09,0,33.746,33.746,10050.63,-0.99109674,0.0
2023-11-01,0,SELL_FAILED,415.622,0,33.746,33.746,10157.36,-0.74714214,21.0
2023-11-01,1,HOLD,88.594,0,33.746,33.746,10157.36,0.22864054,15.0
2023-11-01,2,SELL,22.214,1,33.746,55.738,10157.14,-0.98670024,2.0
2023-11-01,3,SELL_FAILED,183.51,0,55.738,55.738,10157.14,-0.9856141,0.0
2023-11-02,0,HOLD,423.587,0,55.738,55.738,10332.88,-0.24803852,21.0
2023-11-02,1,BUY,89.128,0,55.738,55.738,10332.88,0.5237885,15.0
2023-11-02,2,SELL,22.449,2,55.738,100.187,10332.43,-0.94139314,0.0
2023-11-02,3,SELL_FAILED,184.12,0,100.187,100.187,10332.43,-0.94467235,0.0
2023-11-03,0,BUY,427.452,0,100.187,100.187,10421.73,0.58494174,21.0
2023-11-03,1,BUY,89.67,1,100.187,9.62,10420.83,0.74798757,16.0
2023-11-03,2,SELL_FAILED,22.332,0,9.62,9.62,10420.83,-0.47602314,0.0
2023-11-03,3,SELL_FAILED,184.79,0,9.62,9.62,10420.83,-0.5711204,0.0
2023-11-06,0,SELL_FAILED,428.435,0,9.62,9.62,10434.32,-0.8858383,21.0
2023-11-06,1,HOLD,89.223,0,9.62,9.62,10434.32,0.06532777,16.0
2023-11-06,2,SELL_FAILED,22.422,0,9.62,9.62,10434.32,-0.98923814,0.0
2023-11-06,3,SELL_FAILED,183.35,0,9.62,9.62,10434.32,-0.9920198,0.0
2023-11-07,0,SELL_FAILED,429.654,0,9.62,9.62,10467.54,-0.8858659,21.0
2023-11-07,1,HOLD,89.699,0,9.62,9.62,10467.54,0.06583113,16.0
2023-11-07,2,SELL_FAILED,21.943,0,9.62,9.62,10467.54,-0.98922765,0.0
2023-11-07,3,SELL_FAILED,182.59,0,9.62,9.62,10467.54,-0.9920218,0.0
2023-11-08,0,SELL_FAILED,429.969,0,9.62,9.62,10479.02,-0.88584536,21.0
2023-11-08,1,HOLD,90.003,0,9.62,9.62,10479.02,0.06556137,16.0
2023-11-08,2,SELL_FAILED,21.698,0,9.62,9.62,10479.02,-0.9892328,0.0
2023-11-08,3,SELL_FAILED,180.77,0,9.62,9.62,10479.02,-0.99202114,0.0
2023-11-09,0,SELL_FAILED,426.616,0,9.62,9.62,10396.57,-0.8859723,21.0
2023-11-09,1,HOLD,89.251,0,9.62,9.62,10396.57,0.06444372,16.0
2023-11-09,2,SELL_FAILED,21.644,0,9.62,9.62,10396.57,-0.9892518,0.0
2023-11-09,3,SELL_FAILED,181.49,0,9.62,9.62,10396.57,-0.9920195,0.0
2023-11-10,0,SELL_FAILED,433.273,0,9.62,9.62,10539.73,-0.8857365,21.0
2023-11-10,1,HOLD,89.461,0,9.62,9.62,10539.73,0.066825055,16.0
2023-11-10,2,SELL_FAILED,21.753,0,9.62,9.62,10539.73,-0.9892142,0.0
2023-11-10,3,SELL_FAILED,179.51,0,9.62,9.62,10539.73,-0.9920213,0.0
